originalEntry	fuzzyMatchedEntry	fuzzyMatchScore
lewis dickens trail	lewis point	86
middle pond trail	sachem pond	86
west beach trail	west beach	90
enchanted forest	enchanted forest	100
black rock trail	black rock beach	75
cooneymus road	cooneymus beach	76
gift	north light	51
martins trail	mohegan trail	69
old mill loop- tree	loffredo loop	55
main trail, crossing conneymus	clay head trail	86
lakeshore drive	new harbor	49
across from fresh pond	fresh swamp	86
near north lighthouse	north light	90
dickens trail entrance	dickens point	86
hodge family preserve, re-hid at avonlea for a new found friend to find.	hodge family wildlife preserve	86
north side of clayhead trail!	clay head trail	87
win dodge	win dodge	100
payne's greenway	andy's way	86
atwood overlook	payne overlook	69
old mill trail	clay head trail	59
fresh swamp payne farm trail	fresh swamp	90
mansion beach foundation	mansion beach	90
at the base of a bush on lewis dickens farm preserve	lewis-dickens farm	90
inside a log	harrison loop	46
between scotch and mansion beach	mansion beach	90
hodge family wildlife preserve	hodge family wildlife preserve	100
the sacred labyrinth	sacred labyrinth	95
labyrinth	sacred labyrinth	90
rodman's hollow in the grass	rodman's hollow	90
mohegan bluff lookout	mohegan bluffs	86
lofreddo loop	loffredo loop	92
mott property	hodge property	74
harrison trail in a tree	clay head trail	86
lewis-dickens farm nature preserve	lewis-dickens farm	90
old pet cemetery	old harbor point	48
trail	clay head trail	90
cannon @ legion park	ball o' brien park	58
dodge cemetery	win dodge	86
in a tree off of old mill road	old harbor point	86
martin trails	mohegan trail	69
nestled between a piece of driftwood and sea grass at grace's cove	grace's cove	90
clay head trail	clay head trail	100
in a tree on turnip farm trail	turnip farm	90
trailhead on greenway near cooneymus	bi greenway	86
beach ave trail	baby beach	86
window sill in mystic, ct	meadow hill	58
trail on beach rd	baby beach	86
visitor center	tilson cove	48
trim's pond	dorry's cove beach	86
southeast lighthouse fence post	southeast light	90
harrison loop	harrison loop	100
marsh hawk hollow	rodman's hollow	62
old mill loop	loffredo loop	59
great salt pond	great salt pond	100
in tree on black rock rd.	black rock beach	86
in the park across the across the power company	ball o' brien park	86
greenway trail near turnip farm	turnip farm	90
fresh pond in stump	fresh swamp	86
payne's overlook	payne overlook	95
hodge preserve trail map stand	clay head trail	86
old mill road	hodge family wildlife preserve	53
cannon at legion park	ball o' brien park	56
hodges	hodge family wildlife preserve	75
fire department	fresh pond greenway	47
path to clayhead trail	mohegan trail	86
mohegan bluffs	mohegan bluffs	100
hodge preserve,in a tree	hodge property	86
mohegan bluffs stairway	mohegan bluffs	90
west beach road	west beach	90
golden grove / settlers rock	black rock beach	86
path near scotch beach	scotch beach	90
hodge preserve trailside	hodge property	86
west beach, 50m north of the fence end in a hoary mugwort plant	west beach	90
dickens trail	dickens point	69
southeast lighthouse	southeast light	86
fred benson town beach in the rocks	fred benson town beach	90
town fountain	fred benson town beach	86
clayhead trail	clay head trail	97
south east lighthouse rock	black rock beach	86
indian monument across from hog pen!	hodge property	51
sea breeze inn	sacred labyrinth	47
legion park in a tree	ball o' brien park	55
path to andy's way	andy's way	90
new harbor road bridge	new harbor	90
fence in front of hodge family wildlife preserve	hodge family wildlife preserve	90
scotch beach	scotch beach	100
base of the dunes on the beach at end of clayhead trail	clay head trail	87
tree in front of harbor church	new harbor	86
greenaway by peter woods house	bi greenway	70
stone wall ocean ave before depot	ocean view pavilion	86
crescent beach (across from oyster store)	crescent beach	90
dinghy beach	dinhgy beach	92
andy's way path	andy's way	90
west beach	west beach	100
path to scotch beach	scotch beach	90
great salt pond near the channel	great salt pond	90
across the channel from the coast guard station	the maze'	86
mary macgill store	grace's cove	47
crescent beach between town and scotch	crescent beach	90
mohegan bluff near overlook	mohegan bluffs	86
rodmans hollow	rodman's hollow	97
pebbly beach	dorry's cove beach	86
greenway trail	bi greenway	80
spring pond area	spring pond	95
island cemetery, next to a grave	grace's cove	57
vfw park	ball o' brien park	86
clayhead trail in tree nook!	clay head trail	86
walkers welcome	grace's cove	52
hodge preserve ,in a tree	hodge property	86
tree in harrison trail	harrison loop	86
jetty rocks near crescent beach and ferry	crescent beach	90
dinghey beach	dinhgy beach	88
entrance of path to scotch beach	scotch beach	90
‘rona orb in the lobster trap tree	the maze'	86
ocean house	ocean view pavilion	86
elizabeth dickens trail	clay head trail	86
clay head maze	the maze'	86
old mill near nathan mottt	nathan mott park	86
grace cove	grace's cove	95
sachem pond/ hodge family preserve rock wall	sachem pond	90
near chef statue, under boat	sachem pond	50
greenway trail near harrison loop	harrison loop	90
dickenson trail	dickens point	71
greenway next to beacon hollow farm off beacon hill road	beacon hill	90
turnip trail in a tree	mohegan trail	86
cooneymus cove	cow cove	86
community garden mosaic near ocean view pavilion	ocean view pavilion	90
stonewall on backside of graveyard	vaill beach	58
middle earth, inside a pile of rocks	settler's rock	51
meadow hill trail	meadow hill	90
greenway trails, on the back side of a tree, in a hollowed out piece where another limb use to be	fresh pond greenway	86
beach at north light in driftwood	north light	90
john dodge cemetery	win dodge	86
meadow hill trail apple tree	meadow hill	90
tree near horse farm	turnip farm	86
greenway	bi greenway	95
in my bike helmet at scotch beach	scotch beach	90
martin trail	mohegan trail	72
beacon hill trail	beacon hill	90
beacon hill trail / enchanted forest in a tree trunk!	beacon hill	90
enchanted forest beacon hill	beacon hill	90
beacon hill and old milll trail	beacon hill	90
fresh swamp trail	fresh swamp	90
o'brien park, little free library box	ball o' brien park	86
ocean pavilion	ocean view pavilion	95
harrison loop in a tree	harrison loop	90
legion way in a tree	andy's way	86
enchanted forest in tree	enchanted forest	90
log wood cove (west side beach between north light and dump))	north light	90
hygeia house side driveway	bi greenway	45
on the floor of our jeep in the parking lot at nathan mott park	nathan mott park	90
center	crescent beach	68
mansion beach parking area	mansion beach	90
dory's beach	dorry's cove beach	86
grace's cove	grace's cove	100
grace's beach	fred benson town beach	86
beacon hill rd., trail	beacon hill	90
top of stairs at mohegan bluffs	mohegan bluffs	90
beacon hill greenway	beacon hill	90
greenway trail across from rodman's hollow	rodman's hollow	90
old mill to cooneymus behind rock wall.	black rock beach	86
in shrub near rebeccas restaurant	new shoreham	52
greenway trail. nathan mott park	nathan mott park	90
old mill	old harbor point	86
north light beach	north light	90
turnip trail	turnip farm	70
beacon hill road greenway	beacon hill	90
loffredo loop on trail to dodge cemetary	loffredo loop	90
solveiken property	hodge property	69
green way off cooneymus rd. in tall grass	andy's way	86
gaffney trail	mohegan trail	69
greenway south beacon hill	beacon hill	90
enchanted forest old milll rd	enchanted forest	90
loffredo loop, in the tall grass	loffredo loop	90
in a clump of golden rod gaffney trail	clay head trail	86
greenway between old mill road and dodge cemetery	bi greenway	86
turnip farm, loffredo loop in a tree at sunset!	loffredo loop	90
mohegan bluffs lookout trail	mohegan bluffs	90
old mill road, in a bush	old harbor point	86
dickens path in tree	dickens point	86
in a tree enchanted forest	enchanted forest	90
bottom of broken stairs by overlook	payne overlook	86
long lot trail	mohegan trail	59
dickens farm	lewis-dickens farm	90
andy's way behind a log	andy's way	90
winfield dodge farm	turnip farm	86
end of a fallen tree in the maze	the maze'	90
dodge cemetery greenway	bi greenway	86
north light	north light	100
gracie cove	grace's cove	87
nathan mott park trail, in large tree	nathan mott park	90
win dodge preserve, with gods blessing	win dodge	90
the maze in a kalmia latifolia	the maze'	90
enchanted forrest	enchanted forest	97
in notch of trees on hyland trail	clay head trail	86
sandy point	balls point	64
trims pond behind stone wall	great salt pond	86
across from cemetery	abrams animal farm	45
mansion beach access road	mansion beach	90
ball o'brien park	ball o' brien park	97
hodge family preserve	hodge family wildlife preserve	95
trustrum dodge memorial	win dodge	86
andy's way in the grass to the left once on beach	andy's way	90
motts trail: brick wall entrance	clay head trail	86
nathan mott trail in a tree.	clay head trail	86
tree on legion way outside of oark	andy's way	86
sachem pond	sachem pond	100
walkway to scotch beach	scotch beach	90
andy's way	andy's way	100
clayhead maze	the maze'	86
long lot trail off corn neck	clay head trail	86
rodman's hollow, in a tree!	rodman's hollow	90
longwood cove	logwood cove	96
sacred labyrinth	sacred labyrinth	100
legion park	ball o' brien park	86
rodmans hollow, in a tree	rodman's hollow	86
meadow hills	meadow hill	96
pilot hill road	meadow hill	51
mansion beach	mansion beach	100
highland trail	mohegan trail	74
airport diner	block island state airport	86
ocean view pavillion in a pile of bricks	ocean view pavilion	86
west side	west beach	63
cannon	mansion beach	60
long lot, the maze	the maze'	90
fresh pond trail	fresh pond greenway	74
hygeia house yard	hodge property	45
garden in downtown	fred benson town beach	50
benson beach	dorry's cove beach	86
the maze in a pine tree	the maze'	90
the maze in a tree	the maze'	90
on private trail headed to clayhead trail	clay head trail	87
maze/ clayhead	the maze'	86
inside tree. long lott trail	clay head trail	86
trail leading into maze	clay head trail	86
island cemetery	block island state airport	86
long lot trail @ mazewe were	clay head trail	86
long lot trail in a tree	clay head trail	86
long trail pond	clay head trail	57
old mill greenway	bi greenway	86
somewhere in the maze...	the maze'	90
dorrie's cove	cow cove	86
rock wall in the maze	the maze'	90
dorry's cove	dorry's cove beach	90
long lot path in a stone wall	martin's point	51
lewis dickens preserve	dickens point	86
dory's cove	dorry's cove beach	86
win dodge preserve behind tree in leaves	win dodge	90
a kind local	great salt pond	49
path to baby beach	baby beach	90
win dodge preserve trail	win dodge	90
win dodge foundation trail under a tree in the brush	win dodge	90
the maze on clay head trail	clay head trail	90
clay head trail in the maze, in tree	clay head trail	90
red bird parking lot	spring pond	58
maze, in a tree	the maze'	86
long lots trail/clayhead trail	clay head trail	87
behind a rock on clayhead trail	clay head trail	87
dories cove	dorry's cove beach	86
turnip trail between some rocks	clay head trail	86
rodman's hollow / on trail to old mill road	rodman's hollow	90
beach near crescent beach cottages, between scotch and mansion. we re-hid it.	crescent beach	90
scotch beach near crescent beach cottages	crescent beach	90
mohegan bluffe	mohegan bluffs	93
mohegan bluff	mohegan bluffs	96
green gables	bi greenway	58
hanted forest	enchanted forest	90
graces cove	grace's cove	96
mansion beach entrance walkway	mansion beach	90
martins lot	martin's point	80
under a canon near rustic rides	mansion beach	49
new loop at clay head trail in a tree	clay head trail	90
clay head trail at maze entrance trail marker	clay head trail	90
cooneymus	cooneymus beach	90
north light house beach, under/ behind a log	north light	90
payne farm trail	payne farm trail	100
entangled in fishermen's nets and rope on ballard's beach	ballard's beach	90
rock wall leading to greenway near rodman's hollow on cooneymus rd.	rodman's hollow	90
coast guard beach	baby beach	86
lewis dickens farm trail	lewis-dickens farm	95
grace's cove, under a rock cairn	grace's cove	90
nathan motts sign	nathan mott park	73
300 yards into greenway trail off beacon hill	beacon hill	90
rodmans hollow/jones trail	clay head trail	86
pilot hill road pond	beacon hill	86
mohegan trail walking path	mohegan trail	90
bench near old mill marker	old harbor point	86
stone wall at andy's way	andy's way	90
wind dodge cemetery	win dodge	86
southwest point beach	southwest point	95
beacon hill rd greenway	beacon hill	90
nathan mott park (behind a rock in crevice)	nathan mott park	90
new trail off carey lot	clay head trail	86
rodman's hollow rock wall y	rodman's hollow	90
walkers welcome -in tree	bi greenway	55
payne road greenway	bi greenway	86
clay head	clay head trail	90
lewis dickens farm	lewis-dickens farm	100
hyland trail in drain pipe	clay head trail	86
andy's way beach	andy's way	90
long lot trail- stone wall	clay head trail	86
martin lot	martin's point	75
hollow	rodman's hollow	90
the point	martin's point	86
under a piece of driftwood at the poiny	the maze'	86
rodman hallow	rodman's hollow	86
rodman's hollow bluffs lookout	rodman's hollow	90
walkers way	andy's way	57
cooneymus road -thru turns stile	cooneymus beach	86
rock wall in middle earth	black rock beach	86
beane point	balls point	73
greenway trail, uphill trail off of beacon hill rd.	beacon hill	90
mohican bluff	mohegan bluffs	81
north lighthouse	north light	81
dingy dock	dinhgy beach	64
clay head trail (pumpkin)	clay head trail	90
between mansion and scotch buried in sand (pumpkin)	mansion beach	86
pettit lot	great salt pond	45
indian cemetery	nathan mott park	45
greenway lakeside drive	bi greenway	86
bluffs	mohegan bluffs	90
attwood overlook	payne overlook	69
trail across from smiling through	clay head trail	86
grace's cove beach	grace's cove	90
nathan mott park/ loredo loop	nathan mott park	90
end of hyland trail	clay head trail	59
clayhead green trail	mohegan trail	86
dingy beach	dinhgy beach	96
inside the cannon!	the maze'	86
harrison loop trail between island cemetery and beacon hill rd	beacon hill	90
coastguard beach	baby beach	86
the maze (north of clay head trail) in a hollowed tree limb	clay head trail	90
west beach in a tire	west beach	90
dorrys cove	dorry's cove beach	86
rodman's hollow behind a trail sign	rodman's hollow	90
park across from block island power	ball o' brien park	86
american legion memorial pole	mansion beach	49
vaill beach trail	vaill beach	90
bird bath on trail behind claveras	clay head trail	86
magellan's tree	andy's way	86
black rock trails	black rock beach	73
end of win dodge in stone wall heading out to dickens farm road	win dodge	90
walking path	dinhgy beach	50
rodman hollow near black rock path	black rock beach	86
jones trail rodman's hollow	rodman's hollow	90
fresh pond reserve	fresh swamp	86
rothman's hollow	rodman's hollow	90
trail off west side rd., heading into rodman's hollow	rodman's hollow	90
rodman's hallow	rodman's hollow	93
fresh pond greenway	fresh pond greenway	100
rodman's hollow, at intersection of coastal trail	rodman's hollow	90
black rock bluff	black rock beach	75
jones trail in rodman's hollow	rodman's hollow	90
fresh pond greenway in depression in tree	fresh pond greenway	90
rodman hallows	rodman's hollow	86
rodman's hollow short loop at the base of a tree	rodman's hollow	90
south east beach	baby beach	86
n end of fresh pond	fresh swamp	86
rodman hollow-jones trail	clay head trail	86
rock wall rodman's hollow	rodman's hollow	90
rodman hollow	rodman's hollow	95
between vail beach and mohegan bluffs in the seaweed	mohegan bluffs	90
indian cemetary	nathan mott park	52
fred benson beach	fred benson town beach	95
path off ocean ave.	the maze'	48
site of the spring street pump house plaque	spring pond	86
solvieken dog water fountain	win dodge	50
mohegan trail/pilot hill intersection in a tree	mohegan trail	90
esta's park	ball o' brien park	86
west side beach	baby beach	86
rodman's hollow trailhead	rodman's hollow	90
corn neck rd in yellow moss rock wall next	black rock beach	86
martins trail rock wall	clay head trail	86
in wall at hodge preserve	hodge property	86
fresh pond rock wall	fresh swamp	86
gracies cove	grace's cove	92
inside cannon at cemetery on west side rd	west beach	86
martin lots in stonewall	martin's point	86
indian grave yard	win dodge	50
trails off connecticut ave	tilson cove	58
haunted trail	mohegan trail	69
square stone wall off of cooneymus	cooneymus beach	86
592 old mill road trail	clay head trail	86
meadow hill greenway	meadow hill	90
square stone wall in greenway off cooneymus rd	bi greenway	86
win dodge, in tree by trail sign	win dodge	90
winfield dodge foundation	win dodge	86
greenway trail off of beacon hill rd	beacon hill	90
access path to scotch beach	scotch beach	90
sacred labrynth	sacred labyrinth	90
old mill in a rock pile	settler's rock	86
in a tree	ball o' brien park	53
inside muffler at beach on west beach rd	west beach	90
entrance to payne farm trail	payne farm trail	90
black rock	black rock beach	90
on beach to the left off path from andy's way	andy's way	90
the vale, bi	the maze'	86
grass diamond by second bluffs off pilot hill.	beacon hill	86
foundation off of cooneymus rd.	cooneymus beach	86
2nd cliff path	the maze'	43
near lewis-dickens farm sign	lewis-dickens farm	90
dory cove beach	dorry's cove beach	91
near the statue of hebe (cupbearer to the gods at mount olympus)	the maze'	86
comings greenway	bi greenway	80
rebecca statue	settler's rock	48
win dodge preserve (in rock wall near foundation)	win dodge	90
clay head trails	clay head trail	97
win dodge in the wall	win dodge	90
dorries cove	cow cove	86
school	rodman's hollow	60
win dodge presv.	win dodge	90
path to west beach (breed's lot)	west beach	90
pots and kettles	dickens point	52
swamp/ we love you	fresh swamp	86
wedged in dune fencing at edge of second mohegan bluffs	mohegan bluffs	90
mosquito beach	mosquito beach	100
north end clay head red trail	clay head trail	86
beach at the end of clayhead trail	clay head trail	87
brick chimney on west beach	west beach	90
west beach, northern section	west beach	90
in stone wall on greenway off beacon hill rd.	beacon hill	90
marsh trail off beacon hill road	beacon hill	90
enchanted forest/old mill behind a tree	enchanted forest	90
near dinghy beach	baby beach	86
in a tree stump on nathan mottt trail	clay head trail	86
hidden on a support beam of a gazebo	surf beach	54
crescent beach access- north of benson	crescent beach	90
ballard's beach jetty	ballard's beach	95
enchanted forest (near beacon hill trail in hollowed out tree trunk)	beacon hill	90
beacon hill	beacon hill	100
mohegan bluffs overlook behind bike rack	mohegan bluffs	90
hyland trail deadend	mohegan trail	86
state beach	block island state airport	86
old mill road path	old harbor point	53
meadow hill greenway trail	meadow hill	90
ocean ave across the street from the power station in the small park in a tree.	ball o' brien park	86
wrack line, cow cove	cow cove	90
turnip farm parking lot puddle	turnip farm	90
painted rock	payne overlook	62
dickens preserve	hodge family wildlife preserve	86
block island historical society	block island state airport	63
dingy beach in great salt pond	great salt pond	90
rodman's hollow by loop trail	rodman's hollow	90
green way trail	andy's way	86
long lot connector to clayhead trail	clay head trail	87
kings lot	martin's point	52
path of old hotel	old harbor point	52
our bike helmet at the fresh swamp trail- someone so kind left it for us!!!so	fresh swamp	90
sunfish at andy's way	andy's way	90
turnip farm trail off of old mill road	turnip farm	90
vail beach	vaill beach	95
greenway off of cooneymas	bi greenway	86
greenway in a rock wall where you have to step over to cross into next area	bi greenway	86
neptune house bush by flag pole	new harbor	45
rodman's hollow, in a tree	rodman's hollow	90
greenway trail between beacon hill rd. & old mill rd.	beacon hill	90
in town	fred benson town beach	86
jones trail, rodman's hollow	rodman's hollow	90
mohegan bluffs stairs	mohegan bluffs	90
2nd bluffs near railing	mohegan bluffs	86
circle of rocks on mansion beach	mansion beach	90
west beach in a chimney	west beach	90
dodge farm	abrams animal farm	86
grace's cove on top of the fort	grace's cove	90
harrison trail	harrison loop	74
mohegan stairs	mohegan trail	81
second bluffs trail	mohegan bluffs	57
across from doc willis' farm	abrams animal farm	86
middle earth	vaill beach	52
the greenway off of beacon hill road	beacon hill	90
cooneymus beach next to waterfall	cooneymus beach	90
site of old mill and the sands' land (across from town hall)	fred benson town beach	86
old mill rd greenway	bi greenway	86
in water hogpen new harbor	new harbor	90
hodge preserve pond	hodge family wildlife preserve	86
dicken's point	dickens point	96
crook of tree at mitchell farm	abrams animal farm	86
drift wood tipi near north light	north light	90
rodman's hollow black rock beach overlook	black rock beach	90
murphy's trail	mohegan trail	59
sign at southeast lighthouse	southeast light	90
bike rack across from baby beach	baby beach	90
water street park bench across from peppered cat	ball o' brien park	86
high street stone wall	new shoreham	50
rock wall near block island school	black rock beach	86
john e pond	fresh pond greenway	86
island cemetary	block island state airport	86
near harborside inn	new harbor	72
wwi memorial	lewis point	43
memorial bench in old harbor	new harbor	86
playground book box	payne overlook	46
marsh trail off beacon hill	beacon hill	90
in tree on clayhead trail	clay head trail	87
behind the surf restaurant	surf beach	86
second bluffs	mohegan bluffs	67
fresh pond behind a tree	fresh swamp	86
peckham farm road	turnip farm	86
north light upper path	north light	90
jane lane	payne farm trail	50
off payne's rd trail	andy's way	86
nathan mott park in hollowed out log	nathan mott park	90
win dodge rock wall	win dodge	90
behind rocks on harrison trail before middle earth	clay head trail	86
fresh pond preserve greenway	fresh pond greenway	95
stone wall near beachead picnic area	ballard's beach	66
greenway by fresh pond	fresh pond greenway	95
old mill rd trail under a bridge	clay head trail	86
ball o'brien: in the leaves on the ground on the trail to the right	ball o' brien park	86
dickens point	dickens point	100
playground	sacred labyrinth	48
jim gaffney trail	mohegan trail	67
hyland trail under tree near a stone wall covered with branches	clay head trail	86
hyland trail in a tree	mohegan trail	86
loffredo loop...in the branches of the big beautiful tree :)	loffredo loop	90
behind rock wall on the maze trail	the maze'	90
rodman's hollow stuck in a tree on the rough road	rodman's hollow	90
the maze, behind a small tree	the maze'	90
nathan mott park on 7/29	nathan mott park	90
hodge family wildlife reserve (in a tree)	hodge property	86
the maze, in a rock wall	the maze'	90
rodman jollow	rodman's hollow	86
the maze, in a giant rhododendron bush	the maze'	90
fred benson town beach	fred benson town beach	100
marsh hollow	rodman's hollow	74
andies way	andy's way	80
by the water bottle refill station on corn neck road	the maze'	86
nathan mott park (big tree)	nathan mott park	90
the enchanted forrest, high up in a tree	enchanted forest	86
hodge	hodge family wildlife preserve	90
the cannon	the maze'	56
spring street gallery	spring pond	86
logwood cove- in a log	logwood cove	90
gafney trail	mohegan trail	72
on the beach at the north lighthouse	north light	90
meadow greenway	bi greenway	80
fred benson snack bar	fred benson town beach	70
dunn bridge	win dodge	50
baby beach	baby beach	100
short trail off of mohegan trail	mohegan trail	90
enchanted forest behind a rock wall	enchanted forest	90
turnip farm behind small road sign at an intersection	turnip farm	90
scotch beach- last beach access	scotch beach	90
ball o'brien park tennis courts	ball o' brien park	86
the hyland trail	the maze'	86
murphy trail	mohegan trail	64
west of north light	north light	90
bluffs, under some rocks	mohegan bluffs	86
fresh swamp trail- in tree branches	fresh swamp	90
site of ocean view hotel under wooden boardwalk.	ocean view pavilion	86
john r. dodge cemetery	win dodge	86
none given	fresh pond greenway	54
tree by fresh pond	fresh swamp	86
locker room chamber of commerce	cow cove	56
grace's cove beach under a log (had to dig a little)	grace's cove	90
carey lot by the bear (??)	the maze'	86
behind mohegan bluff monument stone	mohegan bluffs	86
visitor center atm	the maze'	48
path to dodge cemetary in a tree	win dodge	86
clayhead trail head information center	clay head trail	86
in a bush in the little park near the ferry dock	ball o' brien park	86
in a tree at the ocean view foundation	ocean view pavilion	86
path in front of water street inn	martin's point	51
settlers rock	settler's rock	96
haunted forest	enchanted forest	87
crescent beach walkover	crescent beach	90
mohegan bluffs under bench	mohegan bluffs	90
carey lot	charlestown beach	50
pilot hill	beacon hill	57
outside beachhead	surf beach	63
hodge preserve	hodge family wildlife preserve	86
mohegan bluff sign	mohegan bluffs	88
southwest point	southwest point	100
in grass behind the turnip farm sign	turnip farm	90
greenway path off of old mill rd	bi greenway	86
in tree off airport trail	clay head trail	86
in a tree trunk	fred benson town beach	47
rodman's holkow	rodman's hollow	93
rodman's hollow, in a pine tree trunk	rodman's hollow	90
hodge property	hodge property	100
long lot trail, somewhere in the maze	the maze'	90
harrison trail before middle earth in tree notch	clay head trail	86
under a bench across from town hall	fred benson town beach	86
middle earth (??)	vaill beach	52
marsh hawk hollow in a tree stump	rodman's hollow	86
under a log, greenway, beacon hill	beacon hill	90
rocks by bike rack at the top of the mohegan bluffs	mohegan bluffs	90
the dedicated to anne dupont trail	clay head trail	86
rodman's hollows in tree	rodman's hollow	90
rodman's hollow in a dead tree stump	rodman's hollow	90
in a tree by stop sign on old town road	fred benson town beach	86
the narragansett inn	the maze'	86
laredo loop	loffredo loop	83
hiking trail	mohegan trail	64
jetty across from the national in the rocks	the maze'	86
american legion park	ball o' brien park	56
tree	bi greenway	68
mailbox at labyrinth	sacred labyrinth	68
rodmans hollow behind concrete sign	rodman's hollow	86
great salt pond coast	great salt pond	95
airport greenway trail	bi greenway	86
tree stump mansion beach parking lot	mansion beach	90
hodge wildlife preserve	hodge family wildlife preserve	95
just off trail that turns right near rodman hollow parking lot	clay head trail	86
path to mohegan bluff overlook	mohegan bluffs	86
fresh pond overlook	fresh swamp	86
greenway off old mill road	bi greenway	86
ocean view pavilion	ocean view pavilion	100
greenway-fresh swamp trail	fresh swamp	90
conneymus beach	cooneymus beach	93
greenway trail old mill	bi greenway	86
under a rock below middle earth sign	black rock beach	86
trail off payne road	mohegan trail	86
under cannon	fred benson town beach	43
block island cemetery	block island state airport	69
nathan mott greenway- stonewall	bi greenway	86
nathan mott park trail	nathan mott park	95
the canon at the veterans' monument	the maze'	86
block island school	block island state airport	73
hodge family wildlife reserve	hodge family wildlife preserve	98
in tree on hiking trail	clay head trail	86
winn dodge preserve	hodge family wildlife preserve	86
cooneymus beach behind a huge rock	cooneymus beach	90
veteran's park cannon	andy's way	86
winfield dodge	win dodge	86
winfield dodge preserve	win dodge	86
rodman's hollow,on ground...1/4 mi. from entrance	rodman's hollow	90
cooneymus beach	cooneymus beach	100
american legion	harrison loop	50
greenway south off old mill rd	bi greenway	86
foundation at winn dodge	win dodge	86
unknown	fred benson town beach	51
under bench at end of pilot hill road	beacon hill	86
nathan mott park in a tree!	nathan mott park	90
stone wall	charlestown beach	54
behind tree rodman's hollow short loop	rodman's hollow	90
clayhead trail, 1.7 miles in	clay head trail	86
greenway trail by airport	bi greenway	86
north end block island	north light	86
beacon hill road greenway trail	beacon hill	90
beacon hill doc willis's stone wall	beacon hill	90
enchanted forest bi	enchanted forest	95
hole in manisses cemetery sign	win dodge	48
harrison loop in the base of a tree	harrison loop	90
rodman hollow trail map case	clay head trail	86
charleston beach	charlestown beach	97
fresh pond trails	fresh swamp	86
marsh hawk hollow trail	clay head trail	86
path off of old mill road	old harbor point	86
stonewall just beyond cemetery from west side road	west beach	86
on clay head trail in tall grass near the north end of the trail	clay head trail	90
rodman's hollow long loop	rodman's hollow	90
beacon hill greenway trail, in a stone wall	beacon hill	90
driftwood near jetty at charleston beach	charlestown beach	87
barlow's pt.	dorry's cove beach	86
clayhead trl	clay head trail	89
fresh pond in a tree	fresh swamp	86
snake hole	new harbor	50
rodman's holow	rodman's hollow	97
post office	dickens point	55
nathan mott park, stone wall	nathan mott park	90
