originalEntry	fuzzyMatchedEntry	fuzzyMatchScore
greenway across from rodman's at bench overlook	greenway	90
bunnell beach	block island state beach	86
on a rock in the water off of spring street	spring street	90
beach ave. trails	baby beach	86
leffredo loop	loffredo loop	92
woods pond	great salt pond	86
hyland trail	hyland trail	100
greenway trail entrance lakeside druve	greenway	90
ocean view path near ballards	ocean view pavilion	86
win dodge preserve	win dodge	90
clay head trail. in between a tree.	clay head trail	90
greenway trail on lakeside dr.	greenway	90
dodge preserve	hodge preserve	93
mohegan bluffs overlook	mohegan bluffs	90
overlook mohegan	payne overlook	69
cooneymous trail	mott trail	86
greenway near bench	greenway	90
2nd bluffs	mohegan bluffs	71
fresh swamp	fresh swamp	100
scotch beach path	scotch beach	95
maze in a tree	the maze	86
the maze behind stone wall!	the maze	90
long lots	long lot trail	86
the greenway between old mill road and cooneymus road in a wall behind a rock.	old mill road	90
greenway trail off beacon hill	beacon hill	90
tree, near enchanted forest	enchanted forest	90
the maze	the maze	100
rock wall off of fresh pond trail	fresh pond	90
on the hiking path near little sachem pond	sachem pond	90
near fresh pond in long stone wall adjacent to field	fresh pond	90
greenaway trail behind stone wall	greenaway	90
long lots/the maze	the maze	90
fresh pond behind wall at base of tree	fresh pond	90
in a tree near the gazebo	the maze	86
turnip farm	turnip farm	100
beach across from beachhead (maybe baby beach)	baby beach	90
greenway north of beacon hill	beacon hill	90
mazzur trail	elizabeth dickens trail	86
marsh hollow entrance-left in bike basket	marsh hawk hollow	86
mott nature trail	mott trail	86
loffredo loop	loffredo loop	100
black rock road	black rock beach	77
side of trail on fresh pond trail	fresh pond	90
rodman's hollow	rodman's hollow	100
rock wall near fresh pond	fresh pond	90
fresh pond in grass	fresh pond	90
rodman's hollow-on the side of the jones trail	rodman's hollow	90
fresh pond	fresh pond	100
rodman's hollow in a tree	rodman's hollow	90
fresh pond preserve	fresh pond	90
rodman's hollow short loop	rodman's hollow	90
rodman hollow side of trail	rodman hollow	90
rodman's hollow, near peckham farm	rodman's hollow	90
entrance to rodman's hollow from fresh pond	fresh pond	90
fresh pond trail heading to rodman's hollow in a grouping of stones	fresh pond	90
rodman's hollow/jones trail	rodman's hollow	90
in the center of a tree on the greenway trail	greenway	90
jones trail	elizabeth dickens trail	86
fresh pond!	fresh pond	100
rodman's hollow: fresh pond trail	fresh pond	90
rodman's hollow behind the bench.	rodman's hollow	90
roadman's hollow	rodman's hollow	97
fresh pond area	fresh pond	90
greenway/rodman's	greenway	90
greenway off of payne road	payne road greenway	95
1661 farm	abrams animal farm	86
pilot hill road & mohegan trail	mohegan trail	90
long lot trail @ long lot pond	long lot trail	90
andys way rock wall	andy's way	86
old bluffs overlook	payne overlook	69
meadow hill	meadow hill	100
meadow hill under rock	meadow hill	90
clayhead	clay head trail	79
clayhead trail from corn neck road	corn neck road	90
breed land trail	mott trail	86
the maze at clayhead	the maze	90
maze	the maze	90
nathan mott trail	mott trail	90
lobster pot in the maze	the maze	90
clayhead train / the maze	the maze	90
nathan mott	nathan mott park	95
nathan mott park	nathan mott park	100
lewis dickens trail	hyland trail	86
west beach trail	west beach	90
enchanted forest	enchanted forest	100
black rock trail	mott trail	86
cooneymus road	cooneymus beach	76
martins trail	martin trail	96
old mill loop- tree	old mill road	72
across from fresh pond	fresh pond	90
near north lighthouse	north light	90
north side of clayhead trail!	clay head trail	87
win dodge	win dodge	100
payne's greenway	greenway	90
atwood overlook	attwood overlook	97
near the entrance of the fresh pond trail	fresh pond	90
old mill trail	elizabeth dickens trail	86
fresh swamp payne farm trail	fresh swamp	90
mansion beach foundation	mansion beach	90
at the base of a bush on lewis dickens farm preserve	lewis-dickens farm	90
between scotch and mansion beach	mansion beach	90
hodge preserve, in the bushes in circle part of trail	hodge preserve	90
hodge family wildlife preserve	hodge family wildlife preserve	100
the sacred labyrinth	sacred labyrinth	95
labyrinth	sacred labyrinth	90
rodman's hollow in the grass	rodman's hollow	90
mohegan bluff lookout	mohegan bluffs	86
lofreddo loop	loffredo loop	92
mott property	martin property	79
harrison trail in a tree	harrison trail	90
lewis-dickens farm nature preserve	lewis-dickens farm	90
old pet cemetery	dodge cemetery	80
cannon @ legion park	cannon at legion park	95
dodge cemetery	dodge cemetery	100
in a tree off of old mill road	old mill road	90
martin trails	martin trail	96
nestled between a piece of driftwood and sea grass at grace's cove	grace's cove	90
clay head trail	clay head trail	100
in a tree on turnip farm trail	turnip farm	90
trailhead on greenway near cooneymus	greenway	90
visitor center	visitor center	100
trim's pond	trim's pond	100
southeast lighthouse fence post	southeast light	90
harrison loop	harrison loop	100
marsh hawk hollow	marsh hawk hollow	100
old mill loop	old mill road	77
great salt pond	great salt pond	100
in tree on black rock rd.	black rock beach	86
greenway trail near turnip farm	greenway	90
fresh pond in stump	fresh pond	90
payne's overlook	payne overlook	95
hodge preserve trail map stand	hodge preserve	90
old mill road	old mill road	100
cannon at legion park	cannon at legion park	100
hodges	hodge family wildlife preserve	75
