Location	NumTimesListed
rodman's hollow	24
clay head trail	23
bi greenway	14
grace's cove	12
enchanted forest	12
andy's way	11
fresh swamp	9
payne farm trail	8
north light	8
nathan mott park	8
beacon hill	8
west beach	8
the maze'	7
fresh pond greenway	6
turnip farm	6
harrison loop	6
mohegan trail	6
hodge family wildlife preserve	6
cooneymus beach	5
ball o' brien park	5
meadow hill	5
payne overlook	5
baby beach	5
black rock beach	4
mohegan bluffs	4
settler's rock	4
scotch beach	4
ocean view pavilion	3
dorry's cove beach	3
southeast light	3
mansion beach	3
block island state airport	2
loffredo loop	2
charlestown beach	2
cow cove	2
greenway trail off beach ave	2
new shoreham	2
fred benson town beach	2
crescent beach	2
dump beach	2
beach avenue trails	2
new harbor	2
beach avenue trail	2
west side of sandy point	1
greenway trail off old mill road	1
clayhead trail just after beach entrance	1
nature's nobleman greenway	1
west beach (behind the dump). found inside rusted circle piece up against bottom of mini bluffs.	1
gracie's cove entrance	1
near beach ave. and corn neck rd.	1
bi conservancy trail on beach ave.	1
in rock wall on cooneymus greenaway trail	1
bluff trail at black rock	1
bluff trail at black rock, in a rock wall	1
in the roof of the driftwood hut past the north point lighthouse	1
greenway trail near fresh pond	1
entrance to vail beach, in trees	1
sacred labyrinth	1
snake hole road at entrance to beach access	1
hodge preserve behind the stone trail marker	1
payne rd trail in rock wall	1
hodge family preserve- deep in the bowels of the rock wall	1
under drift wood left of graces cove entrance	1
grace's point- deep in the bowels of a gigantic piece of driftwood	1
smithpoint beach fire island seashore east of smithpoint beach long island ny	1
west side bench beach	1
graces cove beach	1
surf beach	1
vaill beach	1
sachem pond	1
overlook to fresh pond on lakeside drive	1
west side of north point, behind log	1
trail to vail beach	1
dickens point	1
trail that runs between cooneymus rd and black rock trail	1
beach b'tween bluffs & coneymus	1
beach end of black rock rd.	1
hodge property	1
under bush at entrance to middle pond @ hodge preserve	1
entrance to dory's cove in and old lobster pot	1
in tree vines on path from parking lot to clay head beach	1
lewis point	1
entrance to clay head beach under charred railroad tie	1
end of w beach rd in tire rim	1
loop off of beach ave	1
beach ave-nature trail	1
beach avenue greenway, in the brush by the stone wall at trims pond	1
fresh pond trail under the shrubs near the pond	1
block island state beach	1
beach between the oars and champlins (10/6/15)	1
greenway trail off of old mill rd. next to the horse farm. beneath weeds wrapped around a tree.	1
rock wall at the martin property	1
inside a cracked log on beach between lewis dickens pt & black rock pt	1
clay head beach in lobster pot	1
rock at end of clay head beach	1
dinhgy beach	1
under the dew, betwixt the flora and fauna near the beach on clay head	1
clayhead beach, under the sand	1
bluffs trail at black rock	1
veteran's park in a tree	1
abrams animal farm	1
??	1
